bert_base_mean0,bert_base_mean1,bert_base_mean2,bert_base_mean3,bert_base_mean4,bert_base_mean5,bert_base_mean6
0.6460863947868347,0.6633118987083435,0.7277587056159973,0.687519907951355,0.6512141227722168,0.6646119356155396,0.7335149645805359
0.7515000700950623,0.7448151111602783,0.7712550759315491,0.7017198801040649,0.6936602592468262,0.7432902455329895,0.7806572318077087
0.7781779170036316,0.8126226663589478,0.9017869234085083,0.7944177985191345,0.861711859703064,0.8243662118911743,0.9131147861480713
0.7534200549125671,0.753279447555542,0.8703405857086182,0.7906217575073242,0.8412588238716125,0.7590965628623962,0.876265287399292
0.9171207547187805,0.9336919784545898,0.917489230632782,0.9425280094146729,0.9375845193862915,0.9289531707763672,0.9249345064163208
0.6847723126411438,0.7670454978942871,0.8383892178535461,0.7262012958526611,0.8680921792984009,0.7627497911453247,0.8349471092224121
0.6719976663589478,0.6766274571418762,0.7154398560523987,0.6775302290916443,0.6446877717971802,0.6775685548782349,0.7006738781929016
0.6161929965019226,0.605536162853241,0.7258300185203552,0.5881068706512451,0.6893970966339111,0.6112510561943054,0.7266598343849182
0.7505400776863098,0.7814182043075562,0.731911301612854,0.7515795230865479,0.764748752117157,0.7756571173667908,0.7308101654052734
0.22122536599636078,0.24926277995109558,0.2485777884721756,0.2864586412906647,0.25723686814308167,0.24339203536510468,0.2506890296936035
0.7910304069519043,0.8438423871994019,0.821378231048584,0.8410224318504333,0.8468295931816101,0.8331320285797119,0.8155347108840942
0.5770750045776367,0.601318359375,0.6287330985069275,0.6597875952720642,0.6948540210723877,0.5999003052711487,0.6218151450157166
0.5493615865707397,0.6512055397033691,0.6813568472862244,0.6788480281829834,0.7116549015045166,0.6694557070732117,0.6843216419219971
0.7851898074150085,0.8098540306091309,0.8416333198547363,0.8241816163063049,0.8561174869537354,0.8150479793548584,0.8563940525054932
0.6212455034255981,0.6454483270645142,0.5622196793556213,0.5293470621109009,0.5178302526473999,0.6587652564048767,0.5581058263778687
0.5633643865585327,0.5783047676086426,0.5435306429862976,0.5656271576881409,0.5607817769050598,0.5701791048049927,0.5301005244255066
0.7754132151603699,0.7794862985610962,0.7634602785110474,0.7985460162162781,0.7415474057197571,0.7724314332008362,0.7709518671035767
0.8183494806289673,0.8352557420730591,0.7855418920516968,0.6934405565261841,0.6433708071708679,0.8230541348457336,0.7820999026298523
0.8880310654640198,0.9084236025810242,0.9354895949363708,0.849960446357727,0.8602158427238464,0.9066895246505737,0.9309197664260864
0.5520492196083069,0.5706013441085815,0.7036324143409729,0.6496630311012268,0.7277565002441406,0.5931411385536194,0.693432092666626
0.6006704568862915,0.5695237517356873,0.6207970380783081,0.5457144975662231,0.5138283967971802,0.5859889388084412,0.6005638241767883
-0.21022191643714905,-0.1893252432346344,-0.11594286561012268,-0.06866156309843063,0.06861365586519241,-0.17441540956497192,-0.08025290817022324
0.8976598978042603,0.9271865487098694,0.9253181219100952,0.879151463508606,0.9433859586715698,0.923957347869873,0.9253285527229309
0.48139718174934387,0.5257627367973328,0.7260749340057373,0.5985094308853149,0.5970912575721741,0.5266693830490112,0.6976734399795532
0.9373251795768738,0.922041654586792,0.9378542900085449,0.9265013933181763,0.9396042823791504,0.921288013458252,0.9365699291229248
0.7515703439712524,0.7558333277702332,0.7646366953849792,0.7893031239509583,0.7659600973129272,0.7579905986785889,0.7769929766654968
