bert_base_max0,bert_base_max1,bert_base_max2,bert_base_max3,bert_base_max4,bert_base_max5,bert_base_max6
0.863394021987915,0.8573911786079407,0.8758971095085144,0.8466404676437378,0.811856210231781,0.8559842109680176,0.8750194311141968
0.8921483159065247,0.8853747248649597,0.8859086632728577,0.8719334006309509,0.8503735065460205,0.8873323202133179,0.887321412563324
0.9170101284980774,0.9295046329498291,0.9484426975250244,0.9209153652191162,0.9403088092803955,0.9331662654876709,0.9539076685905457
0.9007279872894287,0.8970075845718384,0.9351446032524109,0.9229595065116882,0.9204932451248169,0.900969386100769,0.9320704936981201
0.9667847156524658,0.964140772819519,0.9470338225364685,0.9656978845596313,0.9536824822425842,0.9620422720909119,0.9513896107673645
0.9030942916870117,0.9196078777313232,0.9352651238441467,0.9093815088272095,0.9440600872039795,0.9187261462211609,0.9333827495574951
0.8850317001342773,0.8737127780914307,0.8474482893943787,0.8643529415130615,0.8280588984489441,0.8651509881019592,0.839587390422821
0.8467177748680115,0.8324049711227417,0.8616958260536194,0.828545331954956,0.8402342796325684,0.8301912546157837,0.8558161854743958
0.8986623287200928,0.900253415107727,0.8818508386611938,0.8895318508148193,0.8796901106834412,0.897818386554718,0.8785690069198608
0.6390497088432312,0.6526020765304565,0.6055024862289429,0.661696195602417,0.5974264144897461,0.6579084396362305,0.6086902022361755
0.9120396971702576,0.918339192867279,0.9171135425567627,0.9124769568443298,0.9050966501235962,0.9163920879364014,0.9163164496421814
0.8228582143783569,0.7996427416801453,0.7927020192146301,0.8163872361183167,0.8199330568313599,0.8064366579055786,0.7904047966003418
0.8364607095718384,0.8537372350692749,0.859902024269104,0.851448655128479,0.8589523434638977,0.8644506931304932,0.8626680374145508
0.9057763814926147,0.9114397168159485,0.9080355167388916,0.9029561877250671,0.9138869643211365,0.9117680788040161,0.9145469665527344
0.8214597105979919,0.8231062293052673,0.7721302509307861,0.791870653629303,0.7362899780273438,0.8269144892692566,0.7718662619590759
0.8467462658882141,0.8380869030952454,0.7988671064376831,0.8268275260925293,0.79155033826828,0.8366763591766357,0.7891864776611328
0.9360505938529968,0.9281184077262878,0.8993788361549377,0.9201809763908386,0.8930262327194214,0.9273673295974731,0.8994479775428772
0.9117814302444458,0.9080273509025574,0.8759428262710571,0.8217836022377014,0.7870949506759644,0.8951163291931152,0.8691542744636536
0.9516708850860596,0.9519129991531372,0.9568198919296265,0.9308141469955444,0.9221447110176086,0.9525328874588013,0.9547557234764099
0.8459092974662781,0.8565130233764648,0.8537129163742065,0.8500912189483643,0.8434107303619385,0.8638045787811279,0.8502225875854492
0.8336629867553711,0.8280240893363953,0.8179388642311096,0.7974740266799927,0.7589138150215149,0.827225387096405,0.818381667137146
0.30164963006973267,0.27752360701560974,0.31214115023612976,0.33082956075668335,0.4278483986854553,0.35489654541015625,0.36663395166397095
0.9523798823356628,0.9596055746078491,0.9464861154556274,0.9425599575042725,0.9573582410812378,0.9583421349525452,0.9498874545097351
0.8451876044273376,0.8398202061653137,0.8886069655418396,0.8513580560684204,0.8049831986427307,0.8393475413322449,0.8794152736663818
0.961767852306366,0.9540250897407532,0.9626341462135315,0.954075038433075,0.9476844072341919,0.9570112824440002,0.9644322991371155
0.9066944718360901,0.9016757607460022,0.8823802471160889,0.9198627471923828,0.8825427889823914,0.901931643486023,0.8800857067108154
0.832012951374054,0.8335756659507751,0.8039261698722839,0.8166953921318054,0.7916565537452698,0.8467631340026855,0.8147987127304077
0.8340038061141968,0.8228904008865356,0.8328064680099487,0.87417072057724,0.8770756721496582,0.8569768071174622,0.8657892942428589
0.8858755826950073,0.8720748424530029,0.8833395838737488,0.9155778288841248,0.9016676545143127,0.8850035071372986,0.8816391229629517
0.809030294418335,0.8123531341552734,0.8126941323280334,0.7693517208099365,0.7578540444374084,0.8012229204177856,0.8091269135475159
0.9065192341804504,0.9078524708747864,0.8827071785926819,0.9060159921646118,0.8928355574607849,0.9168386459350586,0.8902259469032288
0.8109895586967468,0.7950388193130493,0.7103926539421082,0.742318868637085,0.6463396549224854,0.7953431010246277,0.7052491903305054
