tf_idf0,tf_idf1,tf_idf2,tf_idf3,tf_idf4,tf_idf5,tf_idf6
0.11786006647626254,0.123589414906656,0.06041807002324329,0.13037132550282896,0.06071253467262986,0.12450645127243998,0.05936856752318273
0.11657570744567652,0.1110683371969638,0.022634495124717963,0.11456883306163379,0.021673571478847607,0.11032886677562297,0.02106659401917307
0.31284268688708483,0.3202763519979541,0.2513100984848247,0.364739793909633,0.29839464093765283,0.35311684421128,0.28530336782636984
0.4159044050345504,0.3974252896369001,0.3666497900534811,0.45209520100325784,0.42441760266263756,0.4118624189154135,0.3816756498422853
0.5515467028716954,0.47716635408280805,0.4273737557220915,0.572051609560017,0.5297600408248746,0.5504398127550978,0.506878148757677
0.48115629621346945,0.4232696542066285,0.3386919435415631,0.5158548422357042,0.45248159811443994,0.4312947391245654,0.34726386796643205
0.09170332464580622,0.08855774504520719,0.049528415024299395,0.09729478295653517,0.055703097091768974,0.09052755095685333,0.050326028266371066
0.15117565394926627,0.16337326399217272,0.0273543858973944,0.16305339697665078,0.029351087063513658,0.16208558001671947,0.02846072049236381
0.1818594891947549,0.17584508911890234,0.09462519594063033,0.1780222198037094,0.09308845180776461,0.17214143452853126,0.08994154483895567
0.01687149388674284,0.014706997540462717,0.0,0.015341498057210426,0.0,0.014603965598192378,0.0
0.1851791308124072,0.1813672885263957,0.05817785333321229,0.19985699278513772,0.07055510759019352,0.18961538062029348,0.06619985896704976
0.030408158961581815,0.01760919753936152,0.0028155723957811064,0.020710473190924814,0.005027606681832396,0.01939419636547931,0.004234359656479719
0.17853057595420796,0.16904232178793152,0.06390696966019024,0.17564889907854284,0.06891918714234226,0.17169954172050347,0.06647866349969264
0.11449841989150794,0.11335258510303074,0.05076378535658818,0.13226912474541083,0.06509009077223371,0.12611536397584996,0.06407608575946377
0.15008653555705426,0.140717042031598,0.06515213107977247,0.1450959273467403,0.0658357234495967,0.14258906948868877,0.06600261078776894
0.018988771307199132,0.021311919991485705,0.0,0.03626596685550849,0.012786073091205871,0.020788617393257526,0.0
0.1934960902174541,0.19302998576589295,0.08693555797279871,0.22270421891209594,0.11010557295055202,0.20204041673480794,0.093675829030823
0.060294774641760515,0.0605400256224654,0.019446070199912444,0.06636842177337875,0.01999459044611694,0.06265276984662654,0.01974095776683755
0.4456443607833516,0.4261189184169878,0.3958856672332478,0.474205254202175,0.44793787349389386,0.46979990516519227,0.4429679095296715
0.08270511135505448,0.07098016024573497,0.03185069248813712,0.07275150552120609,0.0337335436634159,0.0681489601204892,0.030934436205575
