bow0,bow1,bow2,bow3,bow4,bow5,bow6
0.5544120592384566,0.5682253082664933,0.1181850231393833,0.5677620043962727,0.1180875419302366,0.5682253082664933,0.11720013077588554
0.65893228862145,0.6628080084276043,0.0779493831397068,0.6524652901447483,0.07823277588091404,0.6584269270107403,0.07828465301524731
0.6428773483468375,0.6526482163134104,0.3955606803164519,0.6588968209898635,0.41035162867015895,0.689573792955944,0.4656363531084469
0.6780739054830662,0.683261571617697,0.4619955443311251,0.6831466323959862,0.482403005558858,0.6845649345681211,0.4759367860522844
0.790917795106852,0.7805862361437966,0.47942123144256915,0.7991757422175324,0.5400890205481162,0.7992226524638848,0.5358300306058962
0.7855854066732456,0.7777063050655113,0.3901188356087291,0.7907738258774494,0.48625574845760644,0.7800836322070384,0.4010355340666486
0.4858991769404145,0.48711076013069743,0.14230986054528083,0.48323417335920227,0.1455314467507125,0.4846824486622676,0.13994704395058377
0.6724831869503785,0.6907851137773334,0.07102689405405549,0.6784357116991104,0.07860290970552147,0.6866234271717155,0.07357843795726789
0.6591352311863562,0.6488087118832384,0.22255257634184805,0.6340503976319753,0.21248647409244859,0.6385502204213825,0.21120049483822353
0.19738550848793068,0.19977814746360806,0.0,0.18274347116195178,0.0,0.18274347116195178,0.0
